  # (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.000E-05	300	1.00E+10
1.292E-05	300	1.00E+10
1.668E-05	300	1.00E+10
2.154E-05	300	1.00E+10
2.783E-05	300	1.00E+10
3.594E-05	300	9.34E+09
4.642E-05	300	8.22E+09
5.995E-05	300	7.23E+09
7.743E-05	300	6.36E+09
1.000E-04	300	5.60E+09
1.292E-04	300	4.93E+09
1.668E-04	300	4.34E+09
2.154E-04	300	3.82E+09
2.783E-04	300	3.36E+09
3.594E-04	300	2.95E+09
4.642E-04	300	2.60E+09
5.995E-04	300	2.29E+09
7.743E-04	300	2.01E+09
1.000E-03	300	1.77E+09
1.292E-03	300	1.56E+09
1.668E-03	300	1.37E+09
2.154E-03	300	1.21E+09
2.783E-03	300	1.06E+09
3.594E-03	300	9.34E+08
4.642E-03	300	8.22E+08
5.995E-03	300	7.23E+08
7.743E-03	300	6.36E+08
1.000E-02	300	5.60E+08
1.292E-02	300	4.93E+08
1.668E-02	300	4.34E+08
2.154E-02	300	3.82E+08
2.783E-02	300	3.36E+08
3.594E-02	300	2.95E+08
4.642E-02	300	2.60E+08
5.995E-02	300	2.29E+08
7.743E-02	300	2.01E+08
1.000E-01	300	1.77E+08
1.292E-01	300	1.56E+08
1.668E-01	300	1.37E+08
2.154E-01	300	1.21E+08
2.783E-01	300	1.06E+08
3.594E-01	300	9.34E+07
4.642E-01	300	8.22E+07
5.995E-01	300	7.23E+07
7.743E-01	300	6.36E+07
1.000E+00	300	5.60E+07
1.292E+00	300	4.93E+07
1.668E+00	300	4.34E+07
2.154E+00	300	3.82E+07
2.783E+00	300	3.36E+07
3.594E+00	300	2.95E+07
4.642E+00	300	2.60E+07
5.995E+00	300	2.29E+07
7.743E+00	300	2.01E+07
1.000E+01	300	1.77E+07
1.292E+01	300	1.56E+07
1.668E+01	300	1.37E+07
2.154E+01	300	1.21E+07
2.783E+01	300	1.06E+07
3.594E+01	300	9.34E+06
4.642E+01	300	8.22E+06
5.995E+01	300	7.23E+06
7.743E+01	300	6.36E+06
1.000E+02	300	5.60E+06
1.292E+02	300	4.93E+06
1.668E+02	300	4.34E+06
2.154E+02	300	3.82E+06
2.783E+02	300	3.36E+06
3.594E+02	300	2.95E+06
4.642E+02	300	2.60E+06
5.995E+02	300	2.29E+06
7.743E+02	300	2.01E+06
1.000E+03	300	1.77E+06
1.292E+03	300	1.56E+06
1.668E+03	300	1.37E+06
2.154E+03	300	1.21E+06
2.783E+03	300	1.06E+06
3.594E+03	300	9.34E+05
4.642E+03	300	8.22E+05
5.995E+03	300	7.23E+05
7.743E+03	300	6.36E+05
1.000E+04	300	5.60E+05
1.292E+04	300	4.93E+05
1.668E+04	300	4.34E+05
2.154E+04	300	3.82E+05
2.783E+04	300	3.36E+05
3.594E+04	300	2.95E+05
4.642E+04	300	2.60E+05
5.995E+04	300	2.29E+05
7.743E+04	300	2.01E+05
1.000E+05	300	1.77E+05
1.292E+05	300	1.56E+05
1.668E+05	300	1.37E+05
2.154E+05	300	1.21E+05
2.783E+05	300	1.06E+05
3.594E+05	300	9.34E+04
4.642E+05	300	8.22E+04
5.995E+05	300	1.00E+06
7.743E+05	300	1.00E+06
1.000E+06	300	1.00E+06
