# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.013E+06	300	1.00E+06
7.889E+05	300	1.00E+06
6.144E+05	300	1.00E+06
4.785E+05	300	8.10E+04
3.727E+05	300	9.17E+04
2.902E+05	300	1.04E+05
2.260E+05	300	1.18E+05
1.760E+05	300	1.33E+05
1.371E+05	300	1.51E+05
1.068E+05	300	1.71E+05
8.315E+04	300	1.94E+05
6.476E+04	300	2.20E+05
5.043E+04	300	2.49E+05
3.928E+04	300	2.83E+05
3.059E+04	300	3.20E+05
2.382E+04	300	3.63E+05
1.855E+04	300	4.11E+05
1.445E+04	300	4.66E+05
1.125E+04	300	5.28E+05
8.764E+03	300	5.98E+05
6.826E+03	300	6.78E+05
5.316E+03	300	7.68E+05
4.140E+03	300	8.70E+05
3.224E+03	300	9.86E+05
2.511E+03	300	1.12E+06
1.956E+03	300	1.27E+06
1.523E+03	300	1.43E+06
1.186E+03	300	1.63E+06
9.237E+02	300	1.84E+06
7.194E+02	300	2.09E+06
5.603E+02	300	2.37E+06
4.363E+02	300	2.68E+06
3.398E+02	300	3.04E+06
2.647E+02	300	3.44E+06
2.061E+02	300	3.90E+06
1.605E+02	300	4.42E+06
1.250E+02	300	5.01E+06
9.740E+01	300	5.67E+06
7.580E+01	300	6.43E+06
5.910E+01	300	7.28E+06
4.600E+01	300	8.26E+06
3.580E+01	300	9.36E+06
2.790E+01	300	1.06E+07
2.170E+01	300	1.20E+07
1.690E+01	300	1.36E+07
1.320E+01	300	1.54E+07
1.030E+01	300	1.74E+07
7.990E+00	300	1.98E+07
6.220E+00	300	2.25E+07
4.850E+00	300	2.54E+07
3.780E+00	300	2.88E+07
2.940E+00	300	3.27E+07
2.290E+00	300	3.70E+07
1.780E+00	300	4.20E+07
1.390E+00	300	4.75E+07
1.080E+00	300	5.39E+07
8.420E-01	300	6.10E+07
6.560E-01	300	6.91E+07
5.110E-01	300	7.83E+07
3.980E-01	300	8.88E+07
3.100E-01	300	1.01E+08
2.410E-01	300	1.14E+08
1.880E-01	300	1.29E+08
1.460E-01	300	1.47E+08
1.140E-01	300	1.66E+08
8.880E-02	300	1.88E+08
6.910E-02	300	2.13E+08
5.380E-02	300	2.41E+08
4.190E-02	300	2.74E+08
3.270E-02	300	3.10E+08
2.540E-02	300	3.51E+08
