# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.000E-05	300	1.00E+10
1.203E-05	300	1.00E+10
1.448E-05	300	1.00E+10
1.743E-05	300	1.00E+10
2.097E-05	300	1.00E+10
2.524E-05	300	1.00E+10
3.037E-05	300	1.00E+10
3.654E-05	300	9.26E+09
4.398E-05	300	8.44E+09
5.292E-05	300	7.70E+09
6.368E-05	300	7.02E+09
7.663E-05	300	6.40E+09
9.222E-05	300	5.83E+09
1.110E-04	300	5.32E+09
1.335E-04	300	4.85E+09
1.607E-04	300	4.42E+09
1.934E-04	300	4.03E+09
2.327E-04	300	3.67E+09
2.801E-04	300	3.35E+09
3.370E-04	300	3.05E+09
4.055E-04	300	2.78E+09
4.880E-04	300	2.53E+09
5.873E-04	300	2.31E+09
7.067E-04	300	2.11E+09
8.504E-04	300	1.92E+09
1.023E-03	300	1.75E+09
1.232E-03	300	1.60E+09
1.482E-03	300	1.45E+09
1.783E-03	300	1.33E+09
2.146E-03	300	1.21E+09
2.583E-03	300	1.10E+09
3.108E-03	300	1.00E+09
3.740E-03	300	9.16E+08
4.501E-03	300	8.35E+08
5.416E-03	300	7.61E+08
6.517E-03	300	6.94E+08
7.843E-03	300	6.32E+08
9.438E-03	300	5.76E+08
1.136E-02	300	5.25E+08
1.367E-02	300	4.79E+08
1.645E-02	300	4.37E+08
1.979E-02	300	3.98E+08
2.382E-02	300	3.63E+08
2.866E-02	300	3.31E+08
3.449E-02	300	3.02E+08
4.150E-02	300	2.75E+08
4.995E-02	300	2.51E+08
6.010E-02	300	2.28E+08
7.233E-02	300	2.08E+08
8.704E-02	300	1.90E+08
1.047E-01	300	1.73E+08
1.260E-01	300	1.58E+08
1.517E-01	300	1.44E+08
1.825E-01	300	1.31E+08
2.196E-01	300	1.19E+08
2.643E-01	300	1.09E+08
3.181E-01	300	9.93E+07
3.827E-01	300	9.05E+07
4.606E-01	300	8.25E+07
5.543E-01	300	7.52E+07
6.670E-01	300	6.86E+07
8.026E-01	300	6.25E+07
9.659E-01	300	5.70E+07
1.162E+00	300	5.19E+07
1.399E+00	300	4.74E+07
1.683E+00	300	4.32E+07
2.026E+00	300	3.93E+07
2.437E+00	300	3.59E+07
2.933E+00	300	3.27E+07
3.530E+00	300	2.98E+07
4.248E+00	300	2.72E+07
5.111E+00	300	2.48E+07
6.151E+00	300	2.26E+07
7.402E+00	300	2.06E+07
8.907E+00	300	1.88E+07
1.072E+01	300	1.71E+07
1.290E+01	300	1.56E+07
1.552E+01	300	1.42E+07
1.868E+01	300	1.30E+07
2.248E+01	300	1.18E+07
2.705E+01	300	1.08E+07
3.255E+01	300	9.82E+06
3.917E+01	300	8.95E+06
4.714E+01	300	8.16E+06
5.672E+01	300	7.44E+06
6.826E+01	300	6.78E+06
8.214E+01	300	6.18E+06
9.885E+01	300	5.63E+06
1.190E+02	300	5.13E+06
1.431E+02	300	4.68E+06
1.723E+02	300	4.27E+06
2.073E+02	300	3.89E+06
2.495E+02	300	3.55E+06
3.002E+02	300	3.23E+06
3.612E+02	300	2.95E+06
4.347E+02	300	2.69E+06
5.231E+02	300	2.45E+06
6.295E+02	300	2.23E+06
7.575E+02	300	2.03E+06
9.116E+02	300	1.85E+06
1.097E+03	300	1.69E+06
1.320E+03	300	1.54E+06
1.589E+03	300	1.41E+06
1.912E+03	300	1.28E+06
2.300E+03	300	1.17E+06
2.768E+03	300	1.06E+06
3.331E+03	300	9.70E+05
4.009E+03	300	8.84E+05
4.824E+03	300	8.06E+05
5.805E+03	300	7.35E+05
6.986E+03	300	6.70E+05
8.407E+03	300	6.11E+05
1.012E+04	300	5.57E+05
1.217E+04	300	5.08E+05
1.465E+04	300	4.63E+05
1.763E+04	300	4.22E+05
2.121E+04	300	3.84E+05
2.553E+04	300	3.50E+05
3.072E+04	300	3.19E+05
3.697E+04	300	2.91E+05
4.449E+04	300	2.66E+05
5.354E+04	300	2.42E+05
6.442E+04	300	2.21E+05
7.753E+04	300	2.01E+05
9.329E+04	300	1.83E+05
1.123E+05	300	1.67E+05
1.351E+05	300	1.52E+05
1.626E+05	300	1.39E+05
1.956E+05	300	1.27E+05
2.354E+05	300	1.15E+05
2.833E+05	300	1.05E+05
3.409E+05	300	9.59E+04
4.103E+05	300	8.74E+04
4.937E+05	300	7.97E+04
5.941E+05	300	1.00E+06
7.149E+05	300	1.00E+06
8.603E+05	300	1.00E+06
1.035E+06	300	1.00E+06
1.246E+06	300	1.00E+06
1.499E+06	300	1.00E+06
1.804E+06	300	1.00E+06
2.171E+06	300	1.00E+06
2.613E+06	300	1.00E+06
3.144E+06	300	1.00E+06
3.783E+06	300	1.00E+06
4.553E+06	300	1.00E+06
5.479E+06	300	1.00E+06
6.593E+06	300	1.00E+06
7.934E+06	300	1.00E+06
9.548E+06	300	1.00E+06
1.149E+07	300	1.00E+06
1.383E+07	300	1.00E+06
1.664E+07	300	1.00E+06
2.002E+07	300	1.00E+06
2.409E+07	300	1.00E+06
2.899E+07	300	1.00E+06
3.489E+07	300	1.00E+06
4.199E+07	300	1.00E+06
5.053E+07	300	1.00E+06
6.080E+07	300	1.00E+06
7.317E+07	300	1.00E+06
8.805E+07	300	1.00E+06
1.060E+08	300	1.00E+06
1.275E+08	300	1.00E+06
1.534E+08	300	1.00E+06
1.846E+08	300	1.00E+06
2.222E+08	300	1.00E+06
2.674E+08	300	1.00E+06
3.218E+08	300	1.00E+06
3.872E+08	300	1.00E+06
4.660E+08	300	1.00E+06
5.607E+08	300	1.00E+06
6.748E+08	300	1.00E+06
8.120E+08	300	1.00E+06
9.771E+08	300	1.00E+06
1.176E+09	300	1.00E+06
1.415E+09	300	1.00E+06
1.703E+09	300	1.00E+06
2.049E+09	300	1.00E+06
2.466E+09	300	1.00E+06
2.967E+09	300	1.00E+06
3.571E+09	300	1.00E+06
4.297E+09	300	1.00E+06
5.171E+09	300	1.00E+06
6.223E+09	300	1.00E+06
7.488E+09	300	1.00E+06
9.011E+09	300	1.00E+06
1.084E+10	300	1.00E+06
1.305E+10	300	1.00E+06
