#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	5         	ok              	1.0000000000e+05	3.0000000000e+02	5.2859720875e+24	2.4143210572e+24	4.9584719797e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	5         	ok              	7.8090000000e+04	3.0000000000e+02	4.1278156029e+24	1.8853433136e+24	4.9584719795e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	5         	ok              	6.0990000000e+04	3.0000000000e+02	3.2239143759e+24	1.4724944128e+24	4.9584719793e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	5         	ok              	4.7630000000e+04	3.0000000000e+02	2.5177085050e+24	1.1499411195e+24	4.9584719791e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	5         	ok              	3.7190000000e+04	3.0000000000e+02	1.9658530190e+24	8.9788600117e+23	4.9584719789e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	5         	ok              	2.9050000000e+04	3.0000000000e+02	1.5355748911e+24	7.0136026711e+23	4.9584719787e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	5         	ok              	2.2680000000e+04	3.0000000000e+02	1.1988584692e+24	5.4756801577e+23	4.9584719786e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	5         	ok              	1.7710000000e+04	3.0000000000e+02	9.3614565647e+23	4.2757625923e+23	4.9584719785e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	1.3830000000e+04	3.0000000000e+02	7.3104993951e+23	3.3390060221e+23	4.9584719784e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	5         	ok              	1.0800000000e+04	3.0000000000e+02	5.7088498529e+23	2.6074667418e+23	4.9584719783e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	5         	ok              	8.4370000000e+03	3.0000000000e+02	4.4597746489e+23	2.0369626759e+23	4.9584719782e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
